100
100
500
0;5;1560.789
0;14;1819.068
0;20;6118.917
0;22;2922.154
0;27;5142.830
0;61;2714.219
0;64;2810.064
0;65;5427.418
0;71;1987.958
0;78;3585.299
0;98;255.166
1;4;9075.757
1;5;2493.673
1;6;4104.419
1;51;2396.379
2;19;8492.385
2;44;155.551
2;66;6970.460
2;75;5015.661
2;87;5426.904
2;92;8226.183
2;96;7700.166
3;6;5163.487
3;9;2709.052
3;62;4583.071
3;95;9307.642
4;5;8955.337
4;40;849.292
4;46;9860.025
4;52;4242.796
4;61;6492.454
4;64;9621.763
4;94;4637.520
5;7;8225.550
5;25;4687.463
5;57;288.798
5;59;6203.475
5;68;9041.683
5;96;6675.910
6;13;818.509
7;21;1813.149
7;55;7940.458
7;91;5862.712
7;94;182.084
8;5;7364.706
8;14;8699.094
8;27;3470.185
8;42;1781.182
8;63;4408.187
8;79;2220.500
8;85;1786.268
8;95;2050.638
9;8;2594.975
9;25;225.671
9;47;9000.286
9;74;312.800
9;85;4955.418
10;3;7322.517
10;22;9244.038
10;31;5963.103
10;43;6259.288
10;51;5289.842
10;59;6275.427
11;20;8887.592
11;25;5509.023
11;28;3727.512
11;80;9629.957
12;16;824.728
12;17;6805.313
12;25;6385.621
12;63;4552.746
13;1;9362.186
13;9;8148.436
13;31;7192.299
13;51;5787.175
13;81;3911.424
13;85;3252.575
13;95;8289.005
14;24;9866.315
14;59;6589.196
14;84;3246.534
14;85;3665.249
14;94;6034.882
15;7;5336.492
15;20;603.614
15;48;435.082
15;50;9514.082
15;75;958.050
15;83;4968.172
16;17;6618.730
16;20;4652.591
16;22;5623.406
16;56;5538.469
16;59;4472.578
17;25;623.856
17;64;1501.337
18;6;6614.045
18;29;2928.928
18;44;9430.815
18;72;5059.021
18;77;5084.097
18;86;94.307
19;8;3269.989
19;10;3056.737
19;38;4983.059
19;42;7849.185
19;92;6102.641
20;10;337.102
20;15;4111.545
20;35;3495.714
20;37;1513.317
20;49;818.172
20;72;2049.608
20;91;9644.802
20;94;2872.092
21;55;2399.501
21;63;8414.634
21;86;8712.174
22;28;2973.081
22;36;8923.133
22;91;2807.551
23;18;4218.860
23;24;8238.080
23;33;6866.213
24;15;9640.210
24;33;2884.766
24;53;3473.423
24;86;4834.591
25;11;8834.764
25;25;2788.320
25;86;718.686
26;6;469.472
26;13;7409.300
26;31;7038.867
26;33;1670.364
26;46;9568.041
26;82;147.919
26;85;194.257
26;92;100.228
27;88;9514.347
27;92;5695.828
27;98;9811.797
28;0;7926.159
28;41;7542.895
28;53;9182.473
28;96;5391.406
29;25;9019.500
29;40;2653.996
29;77;115.168
29;78;7037.294
30;32;7509.647
30;42;1133.922
30;55;9685.405
30;63;6236.864
30;71;6100.464
30;75;8661.090
31;63;5026.810
31;95;5056.836
32;32;2454.278
32;39;5569.228
32;55;1429.277
32;91;8773.627
32;97;741.980
32;99;8038.342
33;7;688.068
33;12;7087.948
34;7;9976.285
34;13;3604.908
34;14;7837.599
34;54;9416.978
34;60;2753.607
34;65;7051.686
34;90;846.569
35;6;9733.853
35;15;9379.714
35;17;3856.590
35;34;2325.827
35;84;4068.641
36;3;2787.152
